timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-11-21 10:02:00-05:00,96875.34000000,96875.34000000,96841.52000000,96841.52000000,0.02726000,1732201379999,2640.22194930,3,0.00002000,1.93750680,0
2024-11-21 10:03:00-05:00,96812.74000000,96819.65000000,96739.82000000,96755.98000000,0.20118000,1732201439999,19474.05475170,14,0.00605000,585.72457710,0
2024-11-21 10:04:00-05:00,96896.93000000,96896.93000000,96896.93000000,96896.93000000,0.00002000,1732201499999,1.93793860,1,0.00002000,1.93793860,0
2024-11-21 10:05:00-05:00,96865.07000000,96880.57000000,96705.42000000,96738.18000000,0.00069000,1732201559999,66.78335200,7,0.00029000,28.08966970,0
2024-11-21 10:06:00-05:00,96687.42000000,96723.89000000,96668.10000000,96668.10000000,0.00263000,1732201619999,254.25897790,6,0.00021000,20.30983170,0
2024-11-21 10:07:00-05:00,96755.12000000,96755.12000000,96726.45000000,96726.45000000,0.01147000,1732201679999,1109.68890900,2,0.01147000,1109.68890900,0
2024-11-21 10:08:00-05:00,96606.59000000,96758.65000000,96566.86000000,96758.65000000,0.04387000,1732201739999,4238.18276970,22,0.00508000,491.53394200,0
2024-11-21 10:09:00-05:00,96739.52000000,96739.52000000,96739.52000000,96739.52000000,0.00203000,1732201799999,196.38122560,1,0.00203000,196.38122560,0
2024-11-21 10:10:00-05:00,96739.52000000,96739.52000000,96739.52000000,96739.52000000,0.00000000,1732201859999,0.00000000,0,0.00000000,0.00000000,0
2024-11-21 10:11:00-05:00,96656.36000000,96679.57000000,96655.43000000,96655.43000000,0.60041000,1732201919999,58033.20853130,21,0.00035000,33.83784950,0
2024-11-21 10:12:00-05:00,96655.43000000,96656.35000000,96655.43000000,96656.35000000,0.04479000,1732201979999,4329.20040670,5,0.00422000,407.88961160,0
2024-11-21 10:13:00-05:00,96873.20000000,96873.20000000,96873.20000000,96873.20000000,0.00537000,1732202039999,520.20908400,1,0.00000000,0.00000000,0
2024-11-21 10:14:00-05:00,96873.20000000,96873.20000000,96873.20000000,96873.20000000,0.00000000,1732202099999,0.00000000,0,0.00000000,0.00000000,0
2024-11-21 10:15:00-05:00,96945.61000000,96945.65000000,96945.61000000,96945.65000000,0.00240000,1732202159999,232.66951200,2,0.00000000,0.00000000,0
2024-11-21 10:16:00-05:00,96974.03000000,97048.19000000,96974.03000000,97038.63000000,0.06145000,1732202219999,5963.09672980,23,0.00034000,32.97117020,0
2024-11-21 10:17:00-05:00,97038.63000000,97038.63000000,97038.63000000,97038.63000000,0.00000000,1732202279999,0.00000000,0,0.00000000,0.00000000,0
2024-11-21 10:18:00-05:00,97038.63000000,97038.63000000,97038.63000000,97038.63000000,0.00000000,1732202339999,0.00000000,0,0.00000000,0.00000000,0
2024-11-21 10:19:00-05:00,97121.32000000,97121.32000000,97023.54000000,97049.99000000,0.00605000,1732202399999,587.19143550,5,0.00600000,582.34025850,0
2024-11-21 10:20:00-05:00,97024.65000000,97024.65000000,97024.65000000,97024.65000000,0.37554000,1732202459999,36436.63706100,9,0.00000000,0.00000000,0
2024-11-21 10:21:00-05:00,97024.65000000,97024.67000000,97024.65000000,97024.67000000,0.00354000,1732202519999,343.46727280,11,0.00000000,0.00000000,0
2024-11-21 10:22:00-05:00,97024.65000000,97066.43000000,96873.20000000,97066.43000000,0.75232000,1732202579999,72993.65100570,19,0.00393000,381.47106990,0
2024-11-21 10:23:00-05:00,96856.40000000,97065.90000000,96705.62000000,96705.62000000,0.05567000,1732202639999,5385.64894230,17,0.00002000,1.94131800,0
2024-11-21 10:24:00-05:00,96705.62000000,96802.71000000,96639.09000000,96639.09000000,0.02372000,1732202699999,2293.88885210,15,0.00050000,48.40135500,0
2024-11-21 10:25:00-05:00,96651.17000000,96795.49000000,96621.82000000,96662.54000000,0.02746000,1732202759999,2654.94704730,17,0.00184000,177.98891530,0
2024-11-21 10:26:00-05:00,96662.65000000,96662.65000000,96566.86000000,96566.86000000,0.01902000,1732202819999,1838.37876470,4,0.01746000,1687.72986900,0
